,Total_Days,amount_raised_usd,amount_raised_usd_boxcox,state,currency,category,month_launch
0,21,840.0,5.514379708307528,0,USD,Transportation,4
1,22,250.0,4.682443933343884,0,USD,Human Rights,6
2,22,200.0,4.5223992687044134,0,USD,Human Rights,6
3,30,500.0,5.165822636037467,0,USD,Photography,9
4,120,360.0,4.9392994524441844,0,USD,Human Rights,9
5,42,1538.0,5.906964266129703,0,USD,Camera Gear,11
6,60,775.0,5.460994625068903,0,USD,Photography,11
7,112,71.0,3.7502027099074713,0,USD,Photography,12
8,63,13994.0,7.222501605344913,1,USD,Human Rights,1
9,75,400.0,5.012450430378402,0,USD,Transportation,2
10,59,200.0,4.5223992687044134,0,USD,Photography,2
11,120,575.0,5.260819149335313,0,USD,Photography,2
12,66,4998.0,6.631271653076324,0,USD,Wellness,3
13,91,101.0,4.018524430176427,0,USD,Productivity,3
14,15,880.0,5.545095300898778,0,USD,Photography,3
15,56,160.0,4.360145380832951,0,USD,Photography,4
16,65,2300.0,6.1602028610652795,0,USD,Human Rights,4
17,21,190.0,4.485299133616987,0,USD,Camera Gear,5
18,48,255.0,4.6965412078802355,0,USD,Human Rights,5
19,31,105.0,4.047740295677874,0,USD,Photography,5
20,28,2730.0,6.266169950526464,0,USD,Photography,5
21,87,715.0,5.407316935961809,0,USD,Transportation,6
22,60,1265.0,5.781719575552259,0,USD,Productivity,6
23,60,140.0,4.26198180659655,0,USD,Camera Gear,6
24,32,297.0,4.804509450071504,0,USD,Human Rights,6
25,100,595.0,5.283935177251923,0,USD,Human Rights,7
26,28,110.0,4.082641668590756,0,USD,Photography,7
27,58,345.0,4.909616117001151,0,USD,Photography,7
28,18,985.0,5.619157278585821,0,USD,Human Rights,7
29,41,1060.0,5.667098030071637,0,USD,Human Rights,7
30,90,1770.0,5.996088195496527,0,USD,Photography,7
31,135,120.0,4.147654282718611,0,USD,Productivity,8
32,60,375.0,4.967698046015798,0,USD,Camera Gear,8
33,59,4185.0,6.525492466186097,0,USD,Camera Gear,8
34,32,495.0,5.158959910518214,0,USD,Transportation,8
35,59,6120.0,6.750542171655651,0,USD,Human Rights,9
36,51,95.0,3.972314250744988,0,USD,Photography,9
37,70,740.0,5.430243017973576,0,USD,Photography,9
38,50,722.0,5.413820976476655,0,USD,Camera Gear,9
39,60,1500.0,5.891013425633473,0,USD,Photography,10
40,23,233.0,4.63217177099027,0,USD,Photography,10
41,120,60.0,3.6199801580254887,0,USD,Transportation,10
42,32,2691.0,6.25731664732611,0,USD,Camera Gear,10
43,70,2870.0,6.296880258006178,0,USD,Photography,10
44,52,515.0,5.185981892690933,0,USD,Human Rights,10
45,90,110.0,4.082641668590756,0,USD,Productivity,11
46,120,41.0,3.320402000706946,0,USD,Camera Gear,11
47,64,11.0,2.2296288884691706,0,USD,Camera Gear,11
48,28,128.0,4.195651774071928,0,USD,Camera Gear,11
49,26,140.0,4.26198180659655,0,USD,Photography,11
50,61,30.0,3.0693495665011867,0,USD,Productivity,11
51,40,460.0,5.108758255769085,0,USD,Human Rights,12
52,70,340.0,4.899416247919101,0,USD,Photography,12
53,90,127.0,4.189828933240147,0,USD,Productivity,12
54,101,260.0,4.710348086809752,0,USD,Productivity,12
55,29,495.0,5.158959910518214,0,USD,Camera Gear,1
56,79,3240.0,6.370953572357275,0,USD,Photography,1
57,55,2580.0,6.231353289773534,0,USD,Human Rights,1
58,120,83.0,3.869808837788239,0,USD,Photography,1
59,24,2040.0,6.085368836494021,1,USD,Photography,1
60,60,40.0,3.300731697174101,0,USD,Productivity,2
61,60,190.0,4.485299133616987,0,USD,Camera Gear,2
62,60,26.0,2.952721781575324,0,USD,Human Rights,2
63,90,235.0,4.638284825593654,0,USD,Human Rights,2
64,40,5101.0,6.643352208806388,0,USD,Photography,2
65,60,18.0,2.648279136631659,0,USD,Audio,2
66,35,2010.0,6.076088443849845,0,USD,Photography,2
67,46,280.0,4.762890092671473,0,USD,Camera Gear,2
68,69,3447.0,6.408572173767676,0,USD,Human Rights,2
69,30,100.0,4.011028427493187,0,USD,Transportation,3
70,20,2300.0,6.1602028610652795,1,USD,Photography,3
71,60,585.0,5.272482023872947,0,USD,Camera Gear,3
72,51,9925.0,7.029352452040711,0,USD,Human Rights,3
73,60,360.0,4.9392994524441844,0,USD,Photography,3
74,43,170.0,4.404447533272574,0,USD,Camera Gear,3
75,45,375.0,4.967698046015798,0,USD,Transportation,4
76,45,70.0,3.7392815017042773,0,USD,Productivity,4
77,50,365.0,4.948903006374643,0,USD,Human Rights,4
78,30,370.0,4.958367926018789,0,USD,Photography,4
79,121,225.0,4.607149865196779,0,USD,Human Rights,4
80,30,286.0,4.777878342589698,0,USD,Human Rights,4
81,60,275.0,4.750137107822575,0,USD,Productivity,4
82,40,812.0,5.491940297122798,0,USD,Camera Gear,4
83,15,435.0,5.070351075295264,0,USD,Photography,4
84,30,50.0,3.477410393923372,0,USD,Human Rights,4
85,52,5872.0,6.726300903174817,0,USD,Camera Gear,5
86,0,735.0,5.425724233770104,0,USD,Productivity,5
87,30,1481.0,5.882876386670691,0,USD,Camera Gear,5
88,45,830.0,5.506458015061947,0,USD,Photography,5
89,60,200.0,4.5223992687044134,0,USD,Human Rights,5
90,6,330.0,4.878530117886339,0,USD,Human Rights,5
91,11,265.0,4.723875966995398,0,USD,Human Rights,5
92,90,1475.0,5.880283756800722,0,USD,Camera Gear,6
93,60,3260.0,6.374698010982279,0,USD,Camera Gear,6
94,30,70.0,3.7392815017042773,0,USD,Human Rights,6
95,60,15.0,2.494763786880612,0,USD,Camera Gear,6
96,45,135.0,4.235106857674596,0,USD,Human Rights,6
97,55,935.0,5.584992166407742,0,USD,Human Rights,6
98,44,11313.0,7.10342051397397,0,USD,Photography,6
99,28,11.0,2.2296288884691706,0,USD,Photography,6
100,46,2610.0,6.238485646212867,0,USD,Photography,6
101,48,350.0,4.919660272351857,0,USD,Camera Gear,6
102,56,125.0,4.178035836492048,0,USD,Productivity,6
103,15,270.0,4.737135593435775,0,USD,Camera Gear,6
104,30,110.0,4.082641668590756,0,USD,Human Rights,6
105,60,155.0,4.336878729697528,0,USD,Wellness,6
106,3,125.0,4.178035836492048,0,USD,Human Rights,6
107,44,3380.0,6.396664714713031,0,USD,Audio,6
108,139,125.0,4.178035836492048,0,USD,Human Rights,6
109,60,160.0,4.360145380832951,0,USD,Audio,6
110,30,101.0,4.018524430176427,0,USD,Human Rights,6
111,40,120.0,4.147654282718611,0,USD,Photography,7
112,19,2721.0,6.26413884986361,0,USD,Camera Gear,7
113,60,8542.0,6.943703113739575,0,USD,Human Rights,7
114,53,95.0,3.972314250744988,0,USD,Human Rights,7
115,39,50.0,3.477410393923372,0,USD,Transportation,7
116,30,360.0,4.9392994524441844,0,USD,Camera Gear,7
117,35,1165.0,5.728486273092177,0,USD,Human Rights,7
118,30,337.0,4.893219613563802,0,USD,Human Rights,7
119,90,415.0,5.0378986571384905,0,USD,Photography,7
120,17,2615.0,6.239665908070886,0,USD,Photography,7
121,46,160.0,4.360145380832951,0,USD,Photography,7
122,30,620.0,5.311696912096426,0,USD,Photography,7
123,49,980.0,5.61582457285842,0,USD,Audio,7
124,45,160.0,4.360145380832951,0,USD,Transportation,7
125,30,565.0,5.248938964313781,0,USD,Camera Gear,7
126,30,930.0,5.581469476373008,0,USD,Human Rights,7
127,66,935.0,5.584992166407742,0,USD,Productivity,7
128,12,2001.0,6.073275634760485,0,USD,Human Rights,7
129,45,90.0,3.9313741300405995,0,USD,Productivity,7
130,22,1690.0,5.966833806067468,0,USD,Photography,7
131,30,760.0,5.447999635732429,0,USD,Human Rights,7
132,30,41.0,3.320402000706946,0,USD,Photography,7
133,45,1230.0,5.763612613381518,0,USD,Camera Gear,7
134,41,310.0,4.834664470898645,0,USD,Photography,7
135,11,165.0,4.38265275199297,0,USD,Human Rights,7
136,88,635.0,5.327789344566281,0,USD,Camera Gear,7
137,60,11.0,2.2296288884691706,0,USD,Camera Gear,7
138,69,1580.0,5.9241145516801375,0,USD,Transportation,7
139,10,7942.0,6.901849086828882,0,USD,Human Rights,7
140,20,6303.0,6.767770548834753,0,USD,Photography,7
141,48,50.0,3.477410393923372,0,USD,Productivity,8
142,42,260.0,4.710348086809752,0,USD,Photography,8
143,52,105.0,4.047740295677874,0,USD,Photography,8
144,41,568.0,5.252526305350588,0,USD,Camera Gear,8
145,52,15227.0,7.2693520264509095,0,USD,Productivity,8
146,90,75.0,3.792312018309129,0,USD,Human Rights,8
147,119,325.0,4.86783367011792,0,USD,Wellness,8
148,15,125.0,4.178035836492048,0,USD,Human Rights,8
149,20,560.0,5.242914896005435,0,USD,Transportation,8
150,40,3250.0,6.372828848972645,0,USD,Human Rights,8
151,90,33.0,3.146460809709987,0,USD,Photography,8
152,38,530.0,5.205527317229981,0,USD,Camera Gear,8
153,37,510.0,5.179332177853759,0,USD,Transportation,8
154,42,120.0,4.147654282718611,0,USD,Camera Gear,8
